,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
2348,præsident,24,5,6,1,24,5,6,35,Venstre
2349,macron,24,5,6,1,24,5,6,35,Venstre
2350,velfærdsmodel,24,5,6,1,24,5,6,35,Venstre
2351,aarhus,41,13,17,2,20,6,8,36,Venstre
2352,fempunktsplan,32,9,15,1,32,9,15,56,Venstre
2353,kurs,127,33,103,5,25,7,21,53,Venstre
2354,fokuspunkt,32,9,15,1,32,9,15,56,Venstre
2355,efterår,32,9,15,1,32,9,15,56,Venstre
2356,pressechef,37,16,4,2,18,8,2,28,Venstre
2357,gode,87,23,10,3,29,8,3,40,Venstre
2358,måltidsvaner,15,4,4,1,15,4,4,23,Venstre
2359,barndom,15,4,4,1,15,4,4,23,Venstre
2360,nem,50,15,15,2,25,8,8,40,Venstre
2361,news,114,20,18,2,57,10,9,76,Venstre
2362,venezuela,57,10,9,1,57,10,9,76,Venstre
2363,nyhedskanaler,57,10,9,1,57,10,9,76,Venstre
2364,studievært,57,10,9,1,57,10,9,76,Venstre
2365,studium,57,10,9,1,57,10,9,76,Venstre
2366,tiltale,57,10,9,1,57,10,9,76,Venstre
2367,realistisk,190,47,129,6,32,8,22,61,Venstre
2368,kræftplan,21,5,12,1,21,5,12,38,Venstre
2369,fbm,9,4,2,1,9,4,2,15,Venstre
2370,august,150,30,29,4,38,8,7,52,Venstre
2371,helnan,9,4,2,1,9,4,2,15,Venstre
2372,marselis,9,4,2,1,9,4,2,15,Venstre
2373,tilmelding,9,4,2,1,9,4,2,15,Venstre
2374,pejlemærke,121,24,37,5,24,5,7,36,Venstre
2375,pressekonsulent,31,17,14,1,31,17,14,62,Venstre
2376,stensikker,83,20,72,2,42,10,36,88,Venstre
2377,elbæk,46,12,45,2,23,6,22,52,Venstre
2378,statsministerkandidat,42,6,48,2,21,3,24,48,Venstre
2379,automat,24,9,55,1,24,9,55,88,Venstre
2380,alternativet,50,17,41,2,25,8,20,54,Venstre
2381,udviklingsland,25,8,20,1,25,8,20,53,Venstre
2382,skipper,28,7,29,1,28,7,29,64,Venstre
2383,udlændingeområde,51,13,46,2,26,6,23,55,Venstre
2384,familiesammenføring,53,13,55,2,26,6,28,60,Venstre
2385,lempe,17,6,34,1,17,6,34,57,Venstre
2386,radikale,25,8,29,1,25,8,29,62,Venstre
2387,svenske,50,17,57,2,25,8,28,62,Venstre
2388,tilstand,50,17,57,2,25,8,28,62,Venstre
2389,utal,30,10,33,1,30,10,33,73,Venstre
2390,velfærdsydelse,17,4,28,1,17,4,28,49,Venstre
2391,skala,17,4,28,1,17,4,28,49,Venstre
2392,parlamentarisk,23,8,19,1,23,8,19,50,Venstre
2393,ghettoområderne,52,10,28,3,17,3,9,30,Venstre
2394,østergaard,33,10,62,1,33,10,62,105,Venstre
2395,position,23,5,5,1,23,5,5,33,Venstre
2396,økologinationer,23,5,5,1,23,5,5,33,Venstre
2397,økologisk,73,17,16,4,18,4,4,26,Venstre
2398,vækstplan,23,5,5,1,23,5,5,33,Venstre
2399,økolog,23,5,5,1,23,5,5,33,Venstre
2400,omlægning,44,12,11,2,22,6,6,34,Venstre
2401,økologi,44,12,11,2,22,6,6,34,Venstre
2402,køkken,38,5,5,2,19,2,2,24,Venstre
2403,plejecenter,17,3,5,1,17,3,5,25,Venstre
2404,måltid,17,3,5,1,17,3,5,25,Venstre
2405,konventionel,21,7,6,1,21,7,6,34,Venstre
2406,landbrugsjord,21,7,6,1,21,7,6,34,Venstre
2407,fodboldbane,27,7,6,2,14,4,3,20,Venstre
2408,betjent,21,3,2,1,21,3,2,26,Venstre
2409,korps,21,3,2,1,21,3,2,26,Venstre
2410,fyn,21,3,2,1,21,3,2,26,Venstre
2411,sommerhumør,57,8,74,1,57,8,74,139,Venstre
2412,flybillet,57,8,74,1,57,8,74,139,Venstre
2413,ide,57,8,74,1,57,8,74,139,Venstre
2414,mediekonsulent,11,7,1,1,11,7,1,19,Venstre
2415,somedk,11,7,1,1,11,7,1,19,Venstre
2416,smdk,11,7,1,1,11,7,1,19,Venstre
2417,sommerdanmark,19,7,7,1,19,7,7,33,Venstre
2418,sikker,19,7,7,1,19,7,7,33,Venstre
2419,familiebil,19,7,7,1,19,7,7,33,Venstre
2420,færgetakst,19,7,7,1,19,7,7,33,Venstre
2421,storebælt,19,7,7,1,19,7,7,33,Venstre
2422,beskæftigelsen,76,15,33,2,38,8,16,62,Venstre
2423,energi,78,8,16,4,20,2,4,26,Venstre
2424,elregning,33,7,6,1,33,7,6,46,Venstre
2425,elafgifterne,60,10,11,2,30,5,6,40,Venstre
2426,historisk,27,3,5,1,27,3,5,35,Venstre
2427,energiområde,27,3,5,1,27,3,5,35,Venstre
2428,beskytte,19,4,6,1,19,4,6,29,Venstre
2429,areal,25,4,6,2,12,2,3,18,Venstre
2430,størrelse,19,4,6,1,19,4,6,29,Venstre
2431,gevinst,51,13,33,2,26,6,16,48,Venstre
2432,udpegning,19,4,6,1,19,4,6,29,Venstre
2433,beskyttelse,19,4,6,1,19,4,6,29,Venstre
2434,strømmen,27,2,7,1,27,2,7,36,Venstre
2435,flugt,27,2,7,1,27,2,7,36,Venstre
2436,fond,27,2,7,1,27,2,7,36,Venstre
2437,tallene,3,1,8,2,2,0,4,6,Venstre
2438,damettevarminister,24,16,43,1,24,16,43,83,Venstre
2439,dst,1,0,1,1,1,0,1,2,Venstre
2440,ministerholdet,62,7,2,2,31,4,1,36,Venstre
2441,omgang,30,9,20,2,15,4,10,30,Venstre
2442,fl18,18,4,9,1,18,4,9,31,Venstre
2443,bemanding,18,4,9,1,18,4,9,31,Venstre
2444,regeringsskift,15,5,11,2,8,2,6,16,Venstre
2445,borgere,12,5,11,1,12,5,11,28,Venstre
2446,infrastrukturprojekter,28,3,10,1,28,3,10,41,Venstre
2447,folkemøde,94,2,1,2,47,1,0,48,Venstre
2448,duo,66,2,1,1,66,2,1,69,Venstre
2449,haarder,78,3,1,2,39,2,0,41,Venstre
2450,fællessang,66,2,1,1,66,2,1,69,Venstre
2451,sundhedspolitik,9,0,4,1,9,0,4,13,Venstre
2452,dksund,28,5,6,2,14,2,3,20,Venstre
2453,h.k.h.,21,2,0,1,21,2,0,23,Venstre
2454,prinsesse,21,2,0,1,21,2,0,23,Venstre
2455,marie,21,2,0,1,21,2,0,23,Venstre
2456,åbningstale,12,1,0,1,12,1,0,13,Venstre
2457,frisind,69,7,21,2,34,4,10,48,Venstre
2458,grundlovsdag2018,51,3,10,1,51,3,10,64,Venstre
2459,optik,19,0,9,1,19,0,9,28,Venstre
2460,ministerium,13,1,3,1,13,1,3,17,Venstre
2461,sikkerhedsnet,12,0,5,1,12,0,5,17,Venstre
2462,asyldestinationer,6,0,2,1,6,0,2,8,Venstre
2463,beskæftigelsesfrekvensen,14,2,1,1,14,2,1,17,Venstre
2464,karakterbonussen,22,2,4,1,22,2,4,28,Venstre
2465,unødig,22,2,4,1,22,2,4,28,Venstre
2466,skæve,32,4,4,2,16,2,2,20,Venstre
2467,tidspunkt,16,2,2,1,16,2,2,20,Venstre
2468,arbejdstid,16,2,2,1,16,2,2,20,Venstre
2469,parre,43,9,23,2,22,4,12,38,Venstre
2470,bekendt,43,9,23,2,22,4,12,38,Venstre
2471,finanskrise,27,0,5,1,27,0,5,32,Venstre
2472,husholdningskasse,76,10,23,3,25,3,8,36,Venstre
2473,danmarkskortet,14,1,3,1,14,1,3,18,Venstre
2474,plastaffald,23,10,5,1,23,10,5,38,Venstre
2475,genanvendelse,23,10,5,1,23,10,5,38,Venstre
2476,plasthandlingsplan,23,10,5,1,23,10,5,38,Venstre
2477,skærpe,49,8,37,1,49,8,37,94,Venstre
2478,betingelse,49,8,37,1,49,8,37,94,Venstre
2479,nette,20,6,5,1,20,6,5,31,Venstre
2480,cyberkriminalitet,20,6,5,1,20,6,5,31,Venstre
2481,strategi,20,6,5,1,20,6,5,31,Venstre
2482,informationssikkerhed,20,6,5,1,20,6,5,31,Venstre
2483,landsdel,115,33,38,2,58,16,19,93,Venstre
2484,holdning,4,1,12,1,4,1,12,17,Venstre
2485,nødtvungen,4,1,12,1,4,1,12,17,Venstre
