id,text,author_id,created_at,referenced_tweets,retweet_count,reply_count,like_count,quote_count,hashtags,mentions,urls,cashtags,description,author_created_at,name,username,verified,url,followers_count,following_count,tweet_count,listed_count
1382367287961911297,RT @PerLarsenC: 200.000 doser AZ-vaccine skal ikke smides ud! Vi må se på mulighederne for at bytte det med andre vacciner - eller at give…,7089792,2021-04-14T16:16:59.000Z,"[{'type': 'retweeted', 'id': '1382364463240724485'}]",10,0,0,0,[],['PerLarsenC'],[],[],Kæmper for et samfund i balance. For dig og for Danmark. #dkpol Pressehenvendelser på tlf. 70702821,2007-06-26T13:56:50.000Z,Det Konservative Folkeparti,KonservativeDK,True,https://t.co/p5b0clNb7R,30254,4549,7275,287
1382323095734730756,"RT @PerLarsenC: Det understreger, at vi har plads til en hurtigere genåbning af Danmark, når Danmark kan vælge at skrotte bestemte vacciner…",7089792,2021-04-14T13:21:23.000Z,"[{'type': 'retweeted', 'id': '1382322211957129216'}]",12,0,0,0,[],['PerLarsenC'],[],[],Kæmper for et samfund i balance. For dig og for Danmark. #dkpol Pressehenvendelser på tlf. 70702821,2007-06-26T13:56:50.000Z,Det Konservative Folkeparti,KonservativeDK,True,https://t.co/p5b0clNb7R,30254,4549,7275,287
1382306333781803009,"RT @JakobSoelvhoej: Ja, dybt skuffende, at der ikke kunne samles flertal for et profitstop på det sociale område. Nu vil millioner af offen…",111554559,2021-04-14T12:14:46.000Z,"[{'type': 'retweeted', 'id': '1382304485528244224'}]",7,0,0,0,[],['JakobSoelvhoej'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1382305616899813380,RT @PSkipperEL: Så er det officielt: vi har ikke kunnet samle flertal om et forbud mod profit på sociale tilbud. Også fremover kan griske e…,111554559,2021-04-14T12:11:55.000Z,"[{'type': 'retweeted', 'id': '1382296807850582016'}]",74,0,0,0,[],['PSkipperEL'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1382228927171682304,"RT @PSkipperEL: Ramadan Mubarak til alle, der fejrer. Pas på hinanden❤️",111554559,2021-04-14T07:07:11.000Z,"[{'type': 'retweeted', 'id': '1382194089060339714'}]",11,0,0,0,[],['PSkipperEL'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1381874830950207494,RT @VictoriaV_EL: Listen er lang og argumenterne mange. Det er tid. Principperne bag gensidig forsørgerpligt skal afskaffes.,111554559,2021-04-13T07:40:08.000Z,"[{'type': 'retweeted', 'id': '1381854881141686272'}]",10,0,0,0,[],['VictoriaV_EL'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1381874822662258689,"RT @VictoriaV_EL: Den gensidige forsørgerpligt har i mange år været kritiseret, særlig fordi principperne skaber endnu hårdere udfordringer…",111554559,2021-04-13T07:40:06.000Z,"[{'type': 'retweeted', 'id': '1381854879958859781'}]",10,0,0,0,[],['VictoriaV_EL'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1381874812944060420,RT @VictoriaV_EL: På torsdag fremsætter vi EL med Å et forslag i Folketinget om at afskaffe de forstokkede principper bag gensidig forsørge…,111554559,2021-04-13T07:40:04.000Z,"[{'type': 'retweeted', 'id': '1381854874883735552'}]",35,0,0,0,[],['VictoriaV_EL'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1381874782761848833,RT @PSkipperEL: Så er der flertal for @Enhedslisten beslutningsforslag om at indkalde forhandlinger om rettigheder til fødende og ordentlig…,111554559,2021-04-13T07:39:56.000Z,"[{'type': 'retweeted', 'id': '1381874496920031232'}]",11,0,0,0,[],"['PSkipperEL', 'Enhedslisten']",[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1380585835930746882,RT @DitteBrondum: Tak til @Enhedslisten for et pege på de to ømmeste tæer ift. at skabe bedre sagsbehandling for udsatte børn. 1) alt for m…,111554559,2021-04-09T18:18:07.000Z,"[{'type': 'retweeted', 'id': '1380420878215696385'}]",14,0,0,0,[],"['DitteBrondum', 'Enhedslisten']",[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1380585813239533571,"RT @PSkipperEL: Vi skal have bedre sagsbehandling i sager, hvor udsatte børn skal anbringes. Børn bliver ikke hørt og oplever, at skift i s…",111554559,2021-04-09T18:18:02.000Z,"[{'type': 'retweeted', 'id': '1380466513921069058'}]",11,0,0,0,[],['PSkipperEL'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1380212039172427784,"RT @EvaFlyvholm: Regeringen er med på den værste, for at tækkes Frankrig som ny militær supermagt. Men danske soldater skal ikke patruljere…",111554559,2021-04-08T17:32:47.000Z,"[{'type': 'retweeted', 'id': '1380155402088808454'}]",3,0,0,0,[],['EvaFlyvholm'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1380121179755778056,"RT @RasmusVMadsen: Man holder lige så meget i kø i en elbil som en benzinbil. Hvis vi ikke gør noget, kommer der 600.000 flere biler på vej…",111554559,2021-04-08T11:31:45.000Z,"[{'type': 'retweeted', 'id': '1380113788377128961'}]",16,0,0,0,[],['RasmusVMadsen'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1380121165138685952,RT @RasmusVMadsen: Regeringens udspil trækker tråde tilbage til den jyske motorvejsmafia. Over halvdelen af nye investeringer går til veje.…,111554559,2021-04-08T11:31:41.000Z,"[{'type': 'retweeted', 'id': '1380105196978720769'}]",8,0,0,0,[],['RasmusVMadsen'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
1380120980081762311,RT @MaiVilladsen: Vi står midt i en klima- og naturkrise. Og derfor er fremtidens transportsvar ikke endnu mere asfalt og motorvej. Det løs…,111554559,2021-04-08T11:30:57.000Z,"[{'type': 'retweeted', 'id': '1380119280734330881'}]",21,0,0,0,[],['MaiVilladsen'],[],[],"Vi kæmper for et grønt og solidarisk samfund. Ingen kan ændre verden alene, men sammen kan vi 🙌 [The Red-Green Alliance from Denmark]",2010-02-05T10:05:56.000Z,Enhedslisten,Enhedslisten,True,https://t.co/8W0QKBIG7D,36057,455,8855,370
