,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic
2406,østeuropæisk,41,8,,1,41,8,,49
2407,lastbil,54,10,,2,27,5,,64
2408,Storebælt,60,10,,2,30,5,,70
2409,Mærkelig,41,8,,1,41,8,,49
2410,optage,107,12,,4,27,3,,119
2411,kamerakontrol,1,0,,1,1,0,,1
2412,interview,941,102,,23,41,4,,1043
2413,dkfisk,1,0,,1,1,0,,1
2414,dkfood,1,0,,1,1,0,,1
2415,Lyngby,38,6,,3,13,2,,44
2416,Hovedgade,20,5,,1,20,5,,25
2417,Magasin,20,5,,1,20,5,,25
2418,Deler,20,5,,1,20,5,,25
2419,hilse,30,6,,4,8,2,,36
