,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic
7433,beslutningstager,4,1,,2,2,0,,5
7434,tv-programmer,2,1,,1,2,1,,3
7435,Pinligt,215,31,,4,54,8,,246
7436,Seier,10,2,,1,10,2,,12
7437,https://t.co/G8qyVuyaMn,10,2,,1,10,2,,12
7438,dametoilet,2,0,,1,2,0,,2
7439,https://t.co/ivy8efOTfe,2,0,,1,2,0,,2
7440,Mina,1,0,,1,1,0,,1
7441,SaudiArabien,1,0,,1,1,0,,1
7442,mekka,1,0,,1,1,0,,1
7443,https://t.co/BSmliUxgU6,25,4,,1,25,4,,29
7444,Partiformand,3,0,,1,3,0,,3
7445,20.,3,0,,1,3,0,,3
7446,https://t.co/QgBiOilJnr,3,0,,1,3,0,,3
7447,verbal,7,3,,1,7,3,,10
7448,lussing,7,3,,1,7,3,,10
7449,jordfordindelsen,7,3,,1,7,3,,10
7450,https://t.co/34cZfBgAPQ,7,3,,1,7,3,,10
7451,mistænke,6,0,,1,6,0,,6
7452,https://t.co/kEZO7DPDEo,6,0,,1,6,0,,6
7453,https://t.co/DpZdoLLGGH,10,1,,1,10,1,,11
7454,https://t.co/focyEHstKD,356,19,,1,356,19,,375
7455,Konservativ,20,3,,1,20,3,,23
7456,Thiesen,20,3,,1,20,3,,23
7457,https://t.co/4Z3RvnJIGM,20,3,,1,20,3,,23
7458,overfald,12,8,,1,12,8,,20
7459,baseballbat,12,8,,1,12,8,,20
7460,Byskov,12,8,,1,12,8,,20
7461,Allé,12,8,,1,12,8,,20
7462,Slagelse,94,26,,2,47,13,,120
7463,juni,17,10,,2,8,5,,27
7464,ærekrænkelse,12,8,,1,12,8,,20
7465,Tæskeholdet,12,8,,1,12,8,,20
7466,https://t.co/jxz2spl6LH,12,8,,1,12,8,,20
7467,https://t.co/DD28IOPD9C,19,3,,1,19,3,,22
7468,Måling,18,5,,1,18,5,,23
7469,storme,18,5,,1,18,5,,23
7470,https://t.co/9O3qJuYbFd,18,5,,1,18,5,,23
7471,monologkaffe,46,10,,1,46,10,,56
7472,øko,76,13,,2,38,6,,89
7473,klima-idealisterne,23,1,,1,23,1,,24
7474,https://t.co/1NUYVSTKUB,23,1,,1,23,1,,24
7475,dkmedier#dkpol,17,1,,1,17,1,,18
7476,politiaktion,189,29,,1,189,29,,218
7477,frygtelighed,189,29,,1,189,29,,218
7478,forsoning,189,29,,1,189,29,,218
7479,https://t.co/BgDW3Wv4kK,189,29,,1,189,29,,218
7480,Jeppe,38,12,,2,19,6,,50
7481,Samuel,29,11,,1,29,11,,40
7482,Cholewa,29,11,,1,29,11,,40
7483,Juhl,29,11,,1,29,11,,40
7484,ubegribelig,17,6,,1,17,6,,23
7485,Afbrændte,0,1,,1,0,1,,1
7486,kandidat,36,6,,4,9,2,,42
7487,radikalisering,0,1,,1,0,1,,1
7488,Tilfælde,0,1,,1,0,1,,1
7489,http://t.co/heXsYphFkE,0,1,,1,0,1,,1
7490,Erkendelse,5,0,,1,5,0,,5
7491,mindrestatmeremenneske,5,0,,1,5,0,,5
7492,https://t.co/mM5dvQh5Bf,5,0,,1,5,0,,5
7493,mastodont,6,2,,1,6,2,,8
7494,mediemarkedet,6,2,,1,6,2,,8
7495,udskiftning,74,14,,1,74,14,,88
7496,arv,75,15,,2,38,8,,90
7497,Jonatan,33,3,,1,33,3,,36
7498,Spang,33,3,,1,33,3,,36
7499,Årets,66,5,,2,33,2,,71
7500,TV-program,33,3,,1,33,3,,36
7501,Zulu-Awards,33,3,,1,33,3,,36
7502,serie,34,3,,2,17,2,,37
7503,tillægspakken,2,0,,1,2,0,,2
7504,LLR,35,14,,4,9,4,,49
7505,EKH,2,0,,1,2,0,,2
7506,DKF,3,0,,2,2,0,,3
7507,køkkenbord,3,0,,1,3,0,,3
7508,https://t.co/Q3cVzH9l2b,3,0,,1,3,0,,3
7509,forstadsfrue,5,2,,1,5,2,,7
7510,https://t.co/CsUskCC04,5,2,,1,5,2,,7
7511,Skatte-finansieret,14,5,,1,14,5,,19
7512,Pris,30,10,,3,10,3,,40
7513,filt,14,5,,1,14,5,,19
7514,windows,14,5,,1,14,5,,19
7515,https://t.co/Qsn6xJTQ2h,14,5,,1,14,5,,19
7516,Svesken,0,0,,1,0,0,,0
7517,disk,0,0,,1,0,0,,0
7518,homoseksuel,11,1,,2,6,0,,12
7519,ikke-muslimer,2,1,,1,2,1,,3
7520,https://t.co/mjFjjSQA3S,8,2,,1,8,2,,10
7521,MeToo-bevægelsen,98,9,,2,49,4,,107
7522,bevise,119,11,,3,40,4,,130
7523,https://t.co/SANZEQhQBb,60,7,,1,60,7,,67
7524,Facebooks,151,34,,1,151,34,,185
7525,frihedsordfører,151,34,,1,151,34,,185
7526,Boje,302,68,,2,151,34,,370
7527,Mathiesen,151,34,,1,151,34,,185
7528,https://t.co/BbA7hBKN8p,151,34,,1,151,34,,185
7529,live-publikum,38,7,,1,38,7,,45
7530,stats-TV,38,7,,1,38,7,,45
7531,Frozen,0,0,,1,0,0,,0
7532,Elsa,0,0,,1,0,0,,0
7533,Draws,0,0,,1,0,0,,0
7534,Joker,0,0,,1,0,0,,0
7535,Minnie,0,0,,1,0,0,,0
7536,Mouse,0,0,,1,0,0,,0
7537,Venom,0,0,,1,0,0,,0
7538,Paw,0,0,,1,0,0,,0
7539,Patrol,0,0,,1,0,0,,0
7540,Chase,0,0,,1,0,0,,0
7541,Real,0,0,,1,0,0,,0
7542,Life,6,0,,2,3,0,,6
7543,https://t.co/AWtaFBvjt9,0,0,,1,0,0,,0
7544,Clickbait,29,2,,1,29,2,,31
7545,https://t.co/6ppQPGoISC,29,2,,1,29,2,,31
7546,https://t.co/owWTV6Fngb,29,2,,1,29,2,,31
7547,skærm,1,0,,1,1,0,,1
7548,1maj15,1,0,,1,1,0,,1
7549,fiske,5,1,,1,5,1,,6
7550,https://t.co/2jmj3FLVGN,5,1,,1,5,1,,6
7551,Jøder,1,0,,1,1,0,,1
7552,Schäfer,2,0,,1,2,0,,2
7553,Innovationsprojekt,2,0,,1,2,0,,2
7554,https://t.co/EyytNcQHzs,5,1,,1,5,1,,6
7555,https://t.co/pUKHFanPev,1,0,,1,1,0,,1
7556,Christina,51,5,,1,51,5,,56
7557,Egelund,51,5,,1,51,5,,56
7558,døjt,51,5,,1,51,5,,56
7559,https://t.co/1WLByqs73,51,5,,1,51,5,,56
7560,Disclaimer,2,0,,1,2,0,,2
7561,Indsamlingsnævnet,2,0,,1,2,0,,2
7562,Ikke-vestlige,21,6,,1,21,6,,27
7563,https://t.co/HWA3SgGYZl,21,6,,1,21,6,,27
7564,Ankommet,16,0,,1,16,0,,16
7565,3-årig,7,1,,1,7,1,,8
7566,https://t.co/DxzoHXvk7,7,1,,1,7,1,,8
7567,Hæv,0,1,,1,0,1,,1
7568,effektivisering,0,1,,1,0,1,,1
7569,https://t.co/0RnQVUXMvH,25,8,,1,25,8,,33
7570,letbane,0,0,,1,0,0,,0
7571,https://t.co/lYj2fGeCLd,9,3,,1,9,3,,12
7572,indflydelsesrig,53,4,,1,53,4,,57
7573,https://t.co/wXjjtiflVF,53,4,,1,53,4,,57
7574,identitet,20,3,,2,10,2,,23
7575,Stiftende,3,0,,1,3,0,,3
7576,Sorø,3,0,,1,3,0,,3
7577,16.,14,1,,2,7,0,,15
7578,Kredsen,3,0,,1,3,0,,3
7579,byrådsmedlem,13,3,,2,6,2,,16
7580,ambassade,26,1,,3,9,0,,27
7581,Jerusalem,4,1,,1,4,1,,5
7582,Vermunds,13,2,,2,6,1,,15
7583,deltagelse,3,3,,2,2,2,,6
7584,https://t.co/j3wFCOIdig,3,2,,1,3,2,,5
7585,virkelyst,9,1,,1,9,1,,10
7586,intolerant,34,8,,1,34,8,,42
7587,dyrebareste,34,8,,1,34,8,,42
7588,Registreringsafgiften,28,6,,1,28,6,,34
7589,benzinafgift,28,6,,1,28,6,,34
7590,ejerafgift,28,6,,1,28,6,,34
7591,https://t.co/AnCQRcsqmb,28,6,,1,28,6,,34
7592,nytår,3,1,,1,3,1,,4
7593,https://t.co/NBvKgg0nXG,3,1,,1,3,1,,4
7594,https://t.co/RASQxUJ5re,22,3,,1,22,3,,25
7595,https://t.co/pXmrEOqQ3S,3,0,,1,3,0,,3
7596,Mercado,37,5,,3,12,2,,42
7597,Undervisningsministeren,34,12,,2,17,6,,46
7598,lektiecafe,0,0,,1,0,0,,0
7599,WTF,1,0,,2,0,0,,1
7600,https://t.co/Zhh2Pb6RCV,22,5,,1,22,5,,27
7601,optræk,2,0,,1,2,0,,2
7602,https://t.co/dHIs4tR2Uh,2,0,,1,2,0,,2
7603,træf,246,31,,1,246,31,,277
7604,udstikke,271,35,,2,136,18,,306
7605,regeltyranni,19,1,,1,19,1,,20
7606,Konsekvensen,38,2,,2,19,1,,40
7607,https://t.co/4J8T4PGD0o,19,1,,1,19,1,,20
7608,https://t.co/y8vDi7JpcW,2,0,,1,2,0,,2
7609,taberhold,12,4,,1,12,4,,16
7610,værdifællesskab,39,10,,3,13,3,,49
7611,https://t.co/i9C3Fd6oFf,12,4,,1,12,4,,16
7612,opgørelse,39,8,,2,20,4,,47
7613,voldsanmeldelser,39,8,,1,39,8,,47
7614,https://t.co/Qaf3noxEQR,39,8,,1,39,8,,47
7615,Frygteligt,77,4,,1,77,4,,81
7616,https://t.co/Wxj19HvHxf,77,4,,1,77,4,,81
7617,Politikerleden,14,7,,2,7,4,,21
7618,https://t.co/kyJ1QRKX1o,7,2,,1,7,2,,9
7619,Skriv,8,0,,2,4,0,,8
7620,https://t.co/SPFEFwcm32,3,0,,1,3,0,,3
7621,https://t.co/1OADlsFYfk,6,0,,1,6,0,,6
7622,https://t.co/0F4SQnhYdq,24,4,,1,24,4,,28
7623,Eiffeltårnet,4,1,,1,4,1,,5
7624,statsleder,4,1,,1,4,1,,5
7625,https://t.co/yP8fW3cTU4,16,2,,1,16,2,,18
7626,Demokratiets,9,2,,1,9,2,,11
7627,Dag,9,2,,2,4,1,,11
7628,Allerød,9,2,,1,9,2,,11
7629,Hvilken,9,2,,1,9,2,,11
7630,https://t.co/NipGWPYDDq,9,2,,1,9,2,,11
7631,folkeskoleprob.i,0,0,,1,0,0,,0
7632,BUTM2015,0,0,,1,0,0,,0
7633,Ide,0,0,,1,0,0,,0
7634,heldagsskole,0,0,,1,0,0,,0
7635,https://t.co/yF5U0x9w4p,15,4,,1,15,4,,19
7636,Useriøst,16,1,,1,16,1,,17
7637,ekstraregning,16,1,,1,16,1,,17
7638,flyafgifter,16,1,,1,16,1,,17
7639,kvotesystem,16,1,,1,16,1,,17
7640,CO2-udledning,16,1,,1,16,1,,17
7641,uændret,16,1,,1,16,1,,17
7642,https://t.co/PlqweAzDDd,16,1,,1,16,1,,17
7643,patetisk,18,1,,1,18,1,,19
7644,fotograf,1,0,,1,1,0,,1
7645,https://t.co/7cVRHS1lA4,1,0,,1,1,0,,1
7646,landsskadelig,68,16,,1,68,16,,84
7647,hellige,68,16,,1,68,16,,84
7648,BTs,68,16,,1,68,16,,84
7649,omfang,2,2,,2,1,1,,4
7650,Tingbjerg,46,5,,2,23,2,,51
7651,Totalt,2,1,,1,2,1,,3
7652,Ting,3,2,,1,3,2,,5
7653,https://t.co/ZlitlttJAc,3,2,,1,3,2,,5
7654,familiemedlem,1,2,,1,1,2,,3
7655,twitterhjerne,1,2,,1,1,2,,3
7656,https://t.co/U1obUbHwcS,1,2,,1,1,2,,3
7657,markedsvilkår,20,3,,2,10,2,,23
7658,Danskerne,391,42,,7,56,6,,433
7659,propaganda,45,9,,2,22,4,,54
7660,kryds,10,1,,1,10,1,,11
7661,https://t.co/bcVJpJNejz,10,1,,1,10,1,,11
7662,https://t.co/QUSNqx1Ffk,30,3,,1,30,3,,33
7663,fundament,43,8,,3,14,3,,51
7664,https://t.co/uOvlwOENUP,5,0,,1,5,0,,5
7665,Centraliseringen,13,3,,1,13,3,,16
7666,sammenlægning,13,3,,1,13,3,,16
7667,nedlægning,13,3,,1,13,3,,16
7668,amt,28,6,,2,14,3,,34
7669,centralisering,23,6,,3,8,2,,29
7670,https://t.co/bJyGxYAQcp,13,3,,1,13,3,,16
7671,medborger,240,32,,5,48,6,,272
7672,gylden,9,1,,1,9,1,,10
7673,https://t.co/Oh54XucaAR,9,1,,1,9,1,,10
7674,http://t.co/RgrBCVHQGl,2,0,,1,2,0,,2
7675,Terror,14,2,,1,14,2,,16
7676,uacceptabel,14,2,,1,14,2,,16
7677,https://t.co/gCXgYQNAzz,14,2,,1,14,2,,16
7678,Meld,1,0,,1,1,0,,1
7679,https://t.co/w9smj7L5Mt,1,0,,1,1,0,,1
7680,Afsenderen,0,0,,1,0,0,,0
7681,fordelagtig,49,15,,1,49,15,,64
7682,klimaminister,49,15,,1,49,15,,64
7683,vejrfænomener,49,15,,1,49,15,,64
7684,Mental,1,0,,1,1,0,,1
7685,kastration,1,0,,1,1,0,,1
7686,E45,2,1,,1,2,1,,3
7687,Østjylland,3,4,,3,1,1,,7
7688,enes,2,0,,1,2,0,,2
7689,https://t.co/3JEaaGbfiY,2,0,,1,2,0,,2
7690,avisstumper,7,1,,1,7,1,,8
7691,https://t.co/Mq4Fz9iOV3,7,1,,1,7,1,,8
7692,krampagtig,55,15,,1,55,15,,70
7693,https://t.co/MD7Dghr8cF,55,15,,1,55,15,,70
7694,tilfældig,142,1,,3,47,0,,143
7695,Johanne,81,15,,4,20,4,,96
7696,Schmidt-Nielsen,57,10,,3,19,3,,67
7697,formandskab,5,0,,1,5,0,,5
7698,ghettomiljøer,21,2,,1,21,2,,23
7699,moske,21,2,,1,21,2,,23
7700,https://t.co/GSRwUwHdYU,21,2,,1,21,2,,23
7701,Soc,14,11,,2,7,6,,25
7702,"budget(19,8",9,11,,1,9,11,,20
7703,mia.)Derfor,9,11,,1,9,11,,20
7704,lampe,9,11,,1,9,11,,20
7705,Lise,59,5,,2,30,2,,64
7706,januarlodtrækningen,10,0,,1,10,0,,10
7707,middag,23,6,,2,12,3,,29
7708,https://t.co/7Tb7ffznZc,10,0,,1,10,0,,10
7709,Nordafrikanske,26,7,,1,26,7,,33
7710,hobetal,26,7,,1,26,7,,33
7711,Libyen,26,7,,1,26,7,,33
7712,kyst,26,7,,1,26,7,,33
7713,ernes,26,7,,1,26,7,,33
7714,skib,32,7,,2,16,4,,39
7715,https://t.co/eXOdJE05uv,26,7,,1,26,7,,33
7716,https://t.co/8eGcohgORC,6,0,,1,6,0,,6
7717,https://t.co/uXHhV4bIP8,16,2,,1,16,2,,18
7718,fortørnet,12,3,,1,12,3,,15
7719,menneskeret,6,2,,1,6,2,,8
7720,studentereksamen,125,16,,2,62,8,,141
7721,boglig,6,2,,1,6,2,,8
7722,https://t.co/juAGzEuBzt,6,2,,1,6,2,,8
7723,Kattekillinger,20,8,,1,20,8,,28
7724,Skattestigning,1,0,,1,1,0,,1
7725,off.,1,0,,1,1,0,,1
7726,gældsætning,1,0,,1,1,0,,1
7727,adm,1,0,,1,1,0,,1
7728,https://t.co/KYM6MKee6,3,2,,1,3,2,,5
7729,https://t.co/tjkm37uQGD,3,0,,1,3,0,,3
7730,globalisering,9,4,,1,9,4,,13
7731,høste,9,4,,1,9,4,,13
7732,årelang,0,0,,1,0,0,,0
7733,https://t.co/Ko4Ld8RDr1,0,0,,1,0,0,,0
7734,ikke-etniske,151,22,,1,151,22,,173
7735,coronatilfælde,151,22,,1,151,22,,173
7736,Genåbningen,151,22,,1,151,22,,173
7737,ligegyldighed,151,22,,1,151,22,,173
7738,tilståelsessag,26,2,,2,13,1,,28
7739,analyse,91,22,,4,23,6,,113
7740,lufthavnsarbejdet,0,0,,1,0,0,,0
7741,østjylland,0,1,,2,0,0,,1
7742,aarhuspol,11,4,,4,3,1,,15
7743,Højlund,2,1,,1,2,1,,3
7744,dame,8,3,,2,4,2,,11
7745,dit,59,13,,1,59,13,,72
7746,https://t.co/eCPRAvR1x9,59,13,,1,59,13,,72
7747,chikane,131,18,,2,66,9,,149
7748,støtteerklæringer,1,0,,1,1,0,,1
7749,https://t.co/ts2w64lYC0,1,0,,1,1,0,,1
7750,herfra,30,8,,1,30,8,,38
7751,https://t.co/dMYUtmwlJy,30,8,,1,30,8,,38
7752,søster,35,5,,2,18,2,,40
7753,https://t.co/v49XufPQkF,4,0,,1,4,0,,4
7754,https://t.co/rzjLVN1mv1,5,2,,1,5,2,,7
7755,dommer,553,16,,2,276,8,,569
7756,kommentator,1,0,,2,0,0,,1
7757,come,0,0,,2,0,0,,0
7758,vmqatar,0,0,,1,0,0,,0
7759,meddelelse,0,0,,1,0,0,,0
7760,http://t.co/jJI9jHzrva,0,0,,1,0,0,,0
7761,genere,17,2,,2,8,1,,19
7762,fløjt,32,12,,1,32,12,,44
7763,https://t.co/vp0JjqArQ9,32,12,,1,32,12,,44
7764,klik,109,33,,2,54,16,,142
7765,hjemmehælpere,65,16,,1,65,16,,81
7766,håndvask,26,3,,1,26,3,,29
7767,stribe,58,4,,3,19,1,,62
7768,vidne,26,3,,1,26,3,,29
7769,https://t.co/MihffA1cTK,26,3,,1,26,3,,29
7770,Krænkelseskulturen,20,2,,1,20,2,,22
7771,Folketingskandidat,22,2,,2,11,1,,24
7772,https://t.co/urILKtLrIX,0,0,,1,0,0,,0
7773,http://t.co/PCoTxvWjGs,0,0,,1,0,0,,0
7774,skrumpe,102,9,,1,102,9,,111
7775,mage,102,9,,1,102,9,,111
7776,Heidelberg,102,9,,1,102,9,,111
7777,Lager,102,9,,1,102,9,,111
7778,https://t.co/FULPW9usUF,102,9,,1,102,9,,111
7779,https://t.co/CILXLEp08Y,15,1,,1,15,1,,16
7780,kostpenge,8,1,,1,8,1,,9
7781,cafeteria,8,1,,1,8,1,,9
7782,asylcenter,8,1,,1,8,1,,9
7783,told,2,0,,1,2,0,,2
7784,hyklerisk,2,0,,1,2,0,,2
7785,narre,76,19,,1,76,19,,95
7786,Lorry,43,13,,1,43,13,,56
7787,mediestøtte,48,14,,2,24,7,,62
7788,valgdebat,43,13,,1,43,13,,56
7789,https://t.co/P5HxWKHOJx,43,13,,1,43,13,,56
7790,Breaking,40,2,,3,13,1,,42
7791,byrådsservice,0,0,,1,0,0,,0
7792,Tilgiv,0,0,,1,0,0,,0
7793,forråelse,27,1,,1,27,1,,28
7794,Jævne,10,7,,1,10,7,,17
7795,utilpasset,10,7,,1,10,7,,17
7796,luksusferier,10,7,,1,10,7,,17
7797,https://t.co/saYQUmBZGi,10,7,,1,10,7,,17
7798,Fredag,22,2,,1,22,2,,24
7799,anahitamalakians,22,2,,1,22,2,,24
7800,KØBENHAVN,35,3,,2,18,2,,38
7801,Kopenhagen,35,3,,2,18,2,,38
7802,https://t.co/I6Ah6ztdPX,22,2,,1,22,2,,24
7803,undergang,10,4,,1,10,4,,14
7804,https://t.co/xtzPGmvaw2,10,4,,1,10,4,,14
7805,redegørelse,287,24,,2,144,12,,311
7806,https://t.co/HhXDHHKbOs,287,24,,1,287,24,,311
7807,Barber,0,0,,1,0,0,,0
7808,Islamisering,10,4,,1,10,4,,14
7809,voldsdominans,10,4,,1,10,4,,14
7810,https://t.co/lW1kciZZAA,24,4,,1,24,4,,28
7811,Barnaby,1,0,,1,1,0,,1
7812,slumre,1,0,,1,1,0,,1
7813,Damn,1,0,,2,0,0,,1
7814,I'm,1,0,,1,1,0,,1
7815,https://t.co/y2X45wu1xq,12,2,,1,12,2,,14
7816,Behandling,136,16,,1,136,16,,152
7817,Mint,136,16,,1,136,16,,152
7818,udkåren,136,16,,1,136,16,,152
7819,familieliv,136,16,,1,136,16,,152
7820,udlændingeproblemer,211,17,,1,211,17,,228
7821,https://t.co/t2HufxKHd0,211,17,,1,211,17,,228
7822,Voldsparate,170,29,,1,170,29,,199
7823,fanatiker,170,29,,1,170,29,,199
7824,Paludan,218,30,,2,109,15,,248
7825,DKpol,324,33,,3,108,11,,357
7826,https://t.co/GVdiWZNA10,170,29,,1,170,29,,199
7827,mobilepay,5,4,,1,5,4,,9
7828,e-mailadresse,10,4,,2,5,2,,14
7829,beskedfeltet,5,4,,1,5,4,,9
7830,bestille,9,4,,2,4,2,,13
7831,højreekstreme,152,12,,1,152,12,,164
7832,suk,152,12,,1,152,12,,164
7833,TV2NEWS,152,12,,1,152,12,,164
7834,titel,26,2,,2,13,1,,28
7835,https://t.co/6IPWfqQDAv,20,1,,1,20,1,,21
7836,offentlighed,54,12,,2,27,6,,66
7837,https://t.co/jzupoKPyT3,3,1,,1,3,1,,4
7838,https://t.co/8yZ6grFoX7,30,4,,1,30,4,,34
7839,paradigmeskifte,22,3,,1,22,3,,25
7840,Stands,102,26,,1,102,26,,128
7841,https://t.co/RFq5BoWgUp,102,26,,1,102,26,,128
7842,Stater,28,5,,1,28,5,,33
7843,EU-flaget,28,5,,1,28,5,,33
7844,forhave,28,5,,1,28,5,,33
7845,Lone,62,4,,2,31,2,,66
7846,Ballerup,10,3,,1,10,3,,13
7847,https://t.co/Lj161a5HrP,12,1,,1,12,1,,13
7848,håndtryksceremonierne,142,16,,1,142,16,,158
7849,afsky,18,2,,1,18,2,,20
7850,Justitsminister,12,2,,1,12,2,,14
7851,https://t.co/PYzG02GPTV,12,2,,1,12,2,,14
7852,uforståelig,36,9,,3,12,3,,45
7853,kvoteflygtnige,5,2,,1,5,2,,7
7854,https://t.co/zl2Q5anC2f,9,1,,1,9,1,,10
7855,Kroll,0,1,,1,0,1,,1
7856,Kaptajn,0,1,,1,0,1,,1
7857,syrienskrigerne,19,4,,1,19,4,,23
7858,stramning,23,4,,3,8,1,,27
7859,https://t.co/oSmMjAXAAt,19,4,,1,19,4,,23
7860,Værdikamp-klar,13,1,,1,13,1,,14
7861,Fodring,0,0,,1,0,0,,0
7862,Renæssanceslot,0,0,,1,0,0,,0
7863,detdanmarkduelsker,0,0,,1,0,0,,0
7864,http://t.co/WtKwt6W28z,0,0,,1,0,0,,0
7865,Soc.,0,0,,1,0,0,,0
7866,gøgleri,0,0,,1,0,0,,0
7867,aarhusianske,0,0,,1,0,0,,0
7868,medlidenhed,7,3,,1,7,3,,10
7869,Rikke,5,0,,1,5,0,,5
7870,https://t.co/BWjbZhcnzE,5,0,,1,5,0,,5
7871,https://t.co/dXTv04USw3,21,5,,1,21,5,,26
7872,gennemgå,12,0,,1,12,0,,12
7873,Cekics,12,0,,1,12,0,,12
7874,lappe,10,2,,1,10,2,,12
7875,udfordring,145,21,,10,14,2,,166
7876,https://t.co/JLBMdUjANk,10,2,,1,10,2,,12
7877,reformliderlig,5,0,,1,5,0,,5
7878,speltmor,5,0,,1,5,0,,5
7879,spelt,5,0,,1,5,0,,5
7880,https://t.co/rNQJS5cLIm,5,0,,1,5,0,,5
7881,Indvandrerbandetyper,146,12,,1,146,12,,158
7882,vanvidskørsel,146,12,,1,146,12,,158
7883,Kystbanen,146,12,,1,146,12,,158
7884,https://t.co/xyd2e8ZLgP,5,0,,1,5,0,,5
7885,føderalistisk,28,7,,1,28,7,,35
7886,magtprojekt,28,7,,1,28,7,,35
7887,https://t.co/Sv65QhuXj0,7,2,,1,7,2,,9
7888,objekt,17,1,,1,17,1,,18
7889,syvende,85,0,,1,85,0,,85
7890,12-tal,85,0,,1,85,0,,85
7891,Grundloven,281,26,,5,56,5,,307
7892,https://t.co/sXyzoS6bJ0,85,0,,1,85,0,,85
7893,børnepasning,39,5,,1,39,5,,44
7894,Levakovic,5,1,,2,2,0,,6
7895,Romertiden,68,0,,1,68,0,,68
7896,Pompei,68,0,,1,68,0,,68
7897,arkitektur,68,0,,1,68,0,,68
7898,Æstetik,68,0,,1,68,0,,68
7899,bygningskunst,68,0,,1,68,0,,68
7900,https://t.co/6U3FQ9Pp5y,34,10,,1,34,10,,44
7901,hykleri,177,39,,3,59,13,,216
7902,pibe,41,9,,1,41,9,,50
7903,flygtningebegrebet,85,24,,1,85,24,,109
7904,misbruge,85,24,,1,85,24,,109
7905,Anden,85,24,,1,85,24,,109
7906,30’erne,85,24,,1,85,24,,109
7907,Ekskluderet,16,7,,1,16,7,,23
7908,sigøjner-gener,16,7,,1,16,7,,23
7909,Hjarn,46,7,,1,46,7,,53
7910,nosse,43,4,,1,43,4,,47
7911,styrke,305,44,,6,51,7,,349
7912,front,43,4,,3,14,1,,47
7913,vinkel,179,67,,2,90,34,,246
7914,bemærkning,20,1,,1,20,1,,21
7915,holde,20,1,,1,20,1,,21
7916,integrationsydelse,4,2,,1,4,2,,6
7917,https://t.co/bLrXjHZVDY,4,2,,1,4,2,,6
7918,morder,223,35,,1,223,35,,258
7919,otteårig,223,35,,1,223,35,,258
7920,kontant,227,36,,2,114,18,,263
7921,belønning,223,35,,1,223,35,,258
7922,integrationsministeren,223,35,,1,223,35,,258
7923,https://t.co/Wt3uTes26B,223,35,,1,223,35,,258
7924,https://t.co/ZyN4ku75ta,7,0,,1,7,0,,7
7925,Byrådet,2,0,,1,2,0,,2
7926,https://t.co/gVMrW00yyn,5,1,,1,5,1,,6
7927,repræsentant,7,1,,1,7,1,,8
7928,Nedtælling,0,0,,1,0,0,,0
7929,dyne,45,1,,2,22,0,,46
7930,kilde,309,53,,5,62,11,,362
7931,drengedrøm,0,0,,1,0,0,,0
7932,elskerinde,1,0,,1,1,0,,1
7933,usmagelig,51,1,,2,26,0,,52
7934,bedrefolkeskole,3,0,,1,3,0,,3
7935,Landsformanden,20,2,,1,20,2,,22
7936,Radikal,20,2,,1,20,2,,22
7937,Ungdom,134,19,,3,45,6,,153
7938,lavalder,20,2,,1,20,2,,22
7939,Ungdomskriminaliteten,20,2,,1,20,2,,22
7940,https://t.co/z2wZ0bQlOr,20,2,,1,20,2,,22
7941,https://t.co/G9jkZMvm7p,21,3,,1,21,3,,24
7942,relativering,330,54,,1,330,54,,384
7943,tv2news,330,54,,1,330,54,,384
7944,https://t.co/O1UgHY35PS,330,54,,1,330,54,,384
7945,erhvervserfaring,49,10,,2,24,5,,59
7946,https://t.co/ig0ujEMZOA,47,10,,1,47,10,,57
7947,Åbne,0,0,,1,0,0,,0
7948,fyraftensmøde,0,0,,1,0,0,,0
7949,folketingskandidat,13,8,,4,3,2,,21
7950,morgenbolledame,19,3,,1,19,3,,22
7951,https://t.co/KmyfJAUTL5,19,3,,1,19,3,,22
7952,Brygger,3,0,,1,3,0,,3
7953,forstad,3,0,,1,3,0,,3
7954,https://t.co/Av0rjJUzWJ,18,6,,1,18,6,,24
7955,tallerken,190,35,,1,190,35,,225
7956,http://t.co/Lf66DZQ2KL,11,6,,1,11,6,,17
7957,http://t.co/2xCCjuOcTX,11,6,,1,11,6,,17
7958,vælgerforening,4,0,,2,2,0,,4
7959,Hillerød-Gribskov,2,0,,1,2,0,,2
7960,lukke,25,4,,1,25,4,,29
7961,RET,25,4,,1,25,4,,29
7962,Velfærd,33,10,,2,16,5,,43
7963,http://t.co/1vOBDPCt6V,6,1,,1,6,1,,7
7964,https://t.co/x6WlXlEHvG,2,0,,1,2,0,,2
7965,styrelse,3,0,,1,3,0,,3
7966,enhed,3,0,,1,3,0,,3
7967,https://t.co/Uhyuhe00Pl,6,2,,1,6,2,,8
7968,Syrienskriger,15,5,,1,15,5,,20
7969,Ahmed,92,19,,3,31,6,,111
7970,Salem,15,5,,1,15,5,,20
7971,el-Haj,15,5,,1,15,5,,20
7972,fortryde,15,5,,1,15,5,,20
7973,kalifat,15,5,,1,15,5,,20
7974,Videoen,15,5,,1,15,5,,20
7975,skød,15,5,,1,15,5,,20
7976,Drop,59,12,,3,20,4,,71
7977,Kulturstøtten,1,0,,1,1,0,,1
7978,dkkomm,1,0,,1,1,0,,1
7979,http://t.co/PL7KI6Y5iN,1,0,,1,1,0,,1
7980,Islams,101,25,,1,101,25,,126
7981,påbud,101,25,,1,101,25,,126
